,번호,본문,요약문,중요단어,추출단어
0,1,"이 가옥은 현재 소유자인 손정호(孫定鎬)의 5대조가 많은 재물을 들여 1780년경에 세웠다고 한다. 원래는 교롱암(敎聾庵)이라고 하였으나, 손정호의 4대조가 문과에 합격하여 궁내부(宮內府) 주사(主事)의 자리에 있었다고 하여 주사댁이라 불리고 있다. ‘ㄱ’자 모양의 안채와 사랑채를 왼편과 오른편에 나란히 두고 각각 맞담을 쌓아 별도의 안마당 공간을 이루었다. 안채는 이 지방 큰 집들과 공통되는 격식(格式)을 갖추고 있다. 안채와 사랑채의 앞면으로 튀어나온 부분에는 넓은 곡식 창고와 고방(庫房)을 두어 당시에 살림이 풍족하였던 것을 보여 주고 있다. 사랑채도 ‘ㄱ’자형 평면으로 정면 5칸, 측면 2칸이다. 안마당 공간과 따로 출입문을 두고 있는 점은 특이하다. 안마당 한가운데에 초가지붕의 방앗간, 외양간을 자리하게 하였고 사랑마당에는 동쪽으로 치우쳐 초당(草堂)을 배치하였다.",손정호의 5대조가 1780년경에 세운 주사댁에는 안채와 사랑채 앞면에 넓은 곡식 창고와 고방이 있어 풍족했던 살림살이를 추측할 수 있다.,"손정호,5대조,1780년,주사댁,교롱암,궁내부,주사","이,가옥,현재,소유자,손정호,의,대조,재물,원래,교롱암,손정호,대조,문과,합격,궁내부,주사,의,자리,댁,불리,자,모양,사랑,채,편,편,각각,담,별도,안마당,공간,이,지방,집,공통,격식,사랑,채,앞면,부분,곡식,창고,방,당시,살림,것,사랑,채도,자형,평면,정면,칸,측면,칸,안마당,공간,출입문,점,안마당,한가운데,초가,지붕,방앗간,외양간,자리,사랑,마당,동쪽,초당,배치"
1,2,"조선 후기에 만들어진 백자로 높이 18.9㎝, 아가리 지름 5.2㎝, 밑 지름7.3㎝의 크기이다. 통형병이란 일반적으로 몸체가 원통형이고 목과 입이 작은 술을 담아 따르는 술병을 일컫는 말이다. 8각으로 모를 깍은 몸체 위에 나팔 모양으로 생긴 아가리와 좁고 길쭉한 원통형의 목이 있다. 몸체 바닥에는 둥근 굽다리가 있다. 문양은 청색 안료(청화)로 큼직하게 화조문(花鳥文)을 앞뒤에 그렸는데, 석류나무 위에 새 한 마리가 앉아있는 구성을 하고있다. 굽 안쪽 바닥에 유약을 칠하기 전에 가는 음각선으로 새긴 ‘관(官)’자가 있다. 모를 깍은 통형병의 모양이나 청화문양, ‘관(官)’자 들로 보아, 18세기 후반에 제작된 것으로 추정되는 대표적 통형병으로 손꼽을 수 있다.",조선 후기에 만들어진 백자로서 나팔 모양으로 생긴 원통형의 목이 있는 18세기 후반에 제작된 것으로 보이는 대표적 통형병이다.,"조선,후기,백자,나팔,모양,18세기,통형병,원통형,청색,화조문,청화문양","조선,후기,백자,높이,아가리,지름,밑,지름,의,크기,통,병,일반,몸체,원통,목,입,술,술병,말,각,깍,몸체,위,나팔,모양,아가리,원통,목,몸체,바닥,굽,다리,양은,청색,안료,청화,로,화,조문,앞뒤,석류나무,위,새,마리,구성,굽,안쪽,바닥,유약,전,음각,선,관,자가,깍,통,병,모양,청화,양,관,자,보아,세기,후반,제작,것,추정,대표,통,병,수"
2,3,"도선국사(827-898)는 신라말기에 활동한 선승으로, 남쪽지역의 비보사찰(裨補寺刹)로 ‘巖’자가 들어가는 세 절인 삼암사(三巖寺)의 하나로 선암사를 중창하였다. 도선국사진영은 두 발을 받침대 위에 올려놓은 의좌상(椅坐像)으로, 오른손에는 주장자를 세워 들고 있다. 옷주름의 표현이 특이한데 녹색장삼은 색의 농·담(濃·淡)으로, 붉은 가사의 옷주름은 먹선과 흰선을 중첩하여 표현하고 있다.  화기에 따르면 1805년에 도일비구(道日比丘)가 선암사 대각국사(보물 제1044호) 진영과 함께 중수한 것으로, 이 두 진영은 유사한 화풍을 보여주고 있다. 현존하는 고승진영 가운데 비교적 조성연대가 올라가는 작품으로, 함께 중수된 대각국사진영(大覺國師眞影)이 보물 제1044호로 지정된 바 있다. ㅇ 규격(세로x가로) : 147 x 112.5cm(전체), 131.5 x 105cm(화면)",도선국사진영은 두 발이 받침대 위에 올려진 의좌상으로 대각국사 진영과 도일비구가 함께 중수한 것이다.,"도선국사진영,의좌상,대각국사,도일비구,도선국사,신라말기,비보사찰,삼암사,선암사,주장자,녹색장삼,고승진영","도선국사,신라,말기,활동,선승,남쪽,지역,비보,사찰,로,자가,세,절,암사,의,하나로,선암사,중창,도선국사,진영,두,발,받침,위,의,좌상,오른손,주장,옷,주름,표현,녹색,장삼,색,농,담,가사,옷,주름,선,선,중첩,표현,화기,도일,비구,선암사,대각국사,보물,제,호,진영,중수,것,이,두,진영,화풍,존,고승,진영,가운데,비교,대가,작품,중수,대각국사,진영,이,보물,제,호로,지정,바,규격,세로,가로,전체,화면"
3,4,"1919년 3·1 운동이 전국적으로 전개되자 유림측에서도 프랑스의 파리에서 개최되는 강회회의에 한국독립을 호소하는 장문의 서한을 작성하여 보낸 일이 있다. 일명 파리장서 사건이라 하는데, 이곳 용강정사와 임리정은 유림들이 모여 서한을 작성하고 총의를 모아 준비한 결집장소로 사용되었다. 용강정사는 앞면 4칸·옆면 1칸 반의 규모이며, 지붕은 옆에서 볼 때 사람 인(人)자 모양인 맞배지붕으로 독특한 조형미를 살리고 있다. 임리정은 앞면 3칸·옆면 2칸의 규모로, 지붕은 옆에서 볼 때 여덟 팔(八)자 모양인 팔작지붕으로 꾸몄다. 용강정사는 건축의 짜임새 및 구조 상태가 우수하며, 임리정은 주변 경관과 조화를 이루는 배치를 이루고 있어 문화재자료로 지정하여 보존하고 있다.",임리정과 용강정사는 한국독립을 호소하기 위해 유림들이 모여 파리장서 사건을 준비한 곳이다.,"임리정,용강정사,한국독립,파리장서,사건,3·1,운동,강회회의,서한","운동,전국,전개,유림,프랑스,파리,개최,강회,회의,한국,독립,호소,장문,서한,작성,일명,파리,장서,사건,곳,용강,정사,임리정,유림,서한,작성,의,준비,결집,장소,사용,용강,정사,앞,칸,옆면,칸,반의,규모,지붕,옆,볼,때,사람,인,자,모양,배,지붕,조형,임리정,앞,칸,옆면,칸,규모,지붕,옆,볼,때,여덟,팔,자,모양,지붕,용강,정사,건축,짜임새,및,구조,상태,임리정,주변,경관,조화,배치,문화재,자료,지정,보존"
4,5,"이 책은 조선 현종초 안동 김씨의 후손인 김성근이 병자호란(1636)때에 순절한 문중의 명현들의 자료를 수집하여 편찬한 것이다. 내용을 보면 김상용을 비롯한 명현들의 편지글, 시론, 경애사 등의 방대한 자료를 원(元), 형(亨), 이(利), 정(貞)의 연대순으로 분류하였다. 원은 18장으로 김상용, 김상헌 등 19인, 형은 19장으로 김창집, 김성최 등 16인, 이는 23장으로 김시걸, 김용겸 등 26인, 정은 14장으로 김이원, 김응순 등 20인 등 총 4책 74장으로 기록되어 있다. 병자호란 당시에 순절한 안동 김씨 문중의 인물을 파악하는데 귀중한 자료로 평가된다.",김성근이 병자호란 당시 순절한 문중의 명현들의 자료를 모아 편찬한 이 책은 안동 김씨 문중의 인물을 알아보는 데 중요한 자료이다.,"김성근,병자호란,조선,현종,김상용","이,책,조선,현종,초,안동,김씨,후손,김성근,병자호란,때,순절,문중,명현,자료,수집,편찬,것,내용,김상용,비롯,명현,편지,글,시론,애사,등,자료,원,형,이,정,의,대순,분류,원,장,김상용,김상헌,등,인,형,장,김창집,김성,최,등,인,장,김시,걸,김용,겸,등,인,정은,장,김이원,김응순,등,인,등,총,책,장,기록,병자호란,당시,순절,안동,김씨,문중,인물,파악,자료,평가"
5,6,"조선시대 만들어진 높이 29.9㎝, 아가리 지름 6.9㎝, 밑지름 8.5㎝의 연질백자이다. 연질백자는 표면이 단단하지 않으며, 유약이 쉽게 떨어진다. 아가리는 나팔같이 밖으로 벌어져 있다. 좁아진 목부분을 지나면서 서서히 팽창하여, 몸 아랫부분이 팽배되었다가 좁아져 굽에 이른다. 어깨부분에는 덩굴무늬를 중심으로 아래·위 2줄의 횡선을 흑상감했고, 몸통에는 먼저 3곳에 연꽃을 배치하고 충분한 여백을 두면서 덩굴무늬를 사이사이에 흑상감하였다. 상감한 선의 굵기가 일정하여, 단정하고 깔끔한 느낌을 주고 있다. 이 병은 백자상감초화문편병(국보 제172호), 백자상감모란문병(보물 제807호)과 형태와 문양이 유사하여, 조선백자의 계보를 파악하는데 매우 중요한 자료가 된다.","조선시대 만들어진 연질백자는 백자상감초화문편병, 백자상감모란문병과 형태와 문양이 유사해서 조선백자 계보를 파악하는데 중요한 자료가 된다.","조선시대,연질백자,백자상감초화문편병,백자상감모란문병","조선시대,높이,아가리,지름,밑,지름,의,연질,백자,연질,백자,표면,유약,아가리,나팔,밖,목,부분,서서히,팽창,몸,부분,팽배,굽,어깨,부분,덩굴,무늬,중심,아래,위,줄,횡선,상감,몸통,먼저,곳,연꽃,배치,여백,면서,덩굴,무늬,사이사이,상감,상감,선의,느낌,이,병,자상,감초,편병,국보,제,호,백자,상감,모란,문병,보물,제,호,과,형태,양,조선백자,계보,파악,매우,자료"
6,7,"조선 후기 왕실에서 사용하던 상여로 보인다. 상여란 보통 시신을 운반하는 것과 혼백을 운반하는 영여로 나눌 수 있는데, 이를 통칭하여 상여라고 부르기도 하지만 일반적으로 앞의 것을 의미한다. 승언리 상여의 길이는 2.2m, 폭 1m, 높이는 1.5m이고, 맨 윗부분의 틀에는 용머리를 그리거나 투각 하였고, 4귀퉁이에는 봉황머리를 조각하여 그 모양이 화려하고 전체적인 모습은 섬세하고 고풍스럽다. 황태자를 가르치던 도승지 김병년(1855∼1927)이 황태자가 8세 때 세상을 떠나자, 안면도 주민들을 동원하여 국장을 치르게 하였다. 그것을 계기로 나라에서 상(償)으로 이 상여를 받아 지금껏 보관해 오고 있다.",도승지 김병년이 황태자가 세상을 떠나자 안면도 주민들을 동원해 국장을 치른 계기로 나라에서 상으로 상여를 받아 지금까지 보관하고 있다.,"도승지,김병년,안면도,조선,후기,상여,승언리,상여,용머리,봉황머리","조선,후기,왕실,사용,상여,상여,란,보통,시신,운반,것,혼백,운반,여로,수,통칭,상여,기도,일반,앞,것,의미,승,리,상여,길이,폭,맨,부분,틀,용머리,투각,귀퉁이,봉황,머리,조각,그,모양,전체,모습,고풍,황태자,도승지,김병년,이,황태자,세,때,세상,안면도,주민,동원,국장,그것,계기,나라,상,이,상여,지금껏,보관"
7,8,"신라시대에 세운 운문사는 여러 차례 보수를 거쳤는데 지금의 절은 조선 숙종 44년(1718)에 있었던 네 번째 보수 때의 것이다. 대웅보전도 이때 세운 것으로 추정한다. 앞면 3칸·옆면 3칸 규모이며 기둥 사이의 간격을 넓게 잡아서 같은 규모의 건물보다 크다. 지붕은 옆면에서 볼 때 여덟 팔(八)자 모양을 한 팔작지붕으로 꾸몄다. 지붕 처마를 받치기 위해 장식하여 짜은 구조가 기둥 위와 기둥 사이에도 있는 다포 양식으로, 조선 후기의 일반적인 다포계 건물들과는 달리 장식으로 치우치지 않았다. 앞면에는 꽃무늬를 넣은 문을 달았는데, 특히 가운데 칸은 넓어 5짝 여닫이문을 달았다. 안쪽은 큰 기둥을 하나만 세워 넓고 탁 트인 공간을 꾸미고 있다. 천장의 가운데는 우물 정(井)자 모양의 천장으로 꾸미고 화려하게 채색해 놓았다. 건물의 짜임이 조선 중기 양식을 잘 나타내고 있어 건축사 연구에 소중한 자료가 되고 있다.",운문사는 신라시대에 조성되고 조선 숙종 44년에 보수한 것으로 앞면 3칸·옆면 3칸 규모이며 앞면 가운데 칸에 5짝 여닫이문을 달았다.,"운문사,신라시대,조선,숙종,44년,대웅보전,팔작지붕,조선,후기,꽃무늬,조선,중기","신라시대,세운,운문사,여러,차례,보수,지금,절,조선,숙종,네,보수,때,것,대웅보전,때,세운,것,추정,앞,칸,옆면,칸,규모,기둥,사이,간격,규모,건물,지붕,옆면,볼,때,여덟,팔,자,모양,지붕,지붕,처마,위해,장식,구조,기둥,위,기둥,사이,포,양식,조선,후기,일반,포계,건물,달리,장식,앞면,꽃,무늬,문,가운데,칸,짝,여닫이,문,안쪽,기둥,하나,탁,공간,천장,가운데,우물,정,자,모양,천장,채색,건물,짜임,조선,중기,양식,건축사,연구,자료"
8,9,"전라병영성은 조선 1417년(태종 17년)에 초대 병마도절제사 마천목 장군이 축조하여 1895년(고종 32년) 갑오경장까지 조선왕조 500년간 전라도와 제주도를 포함한 53주 6진을 총괄한 육군의 총지휘부였다. 수많은 역사와 일화 속에 민족저항 정신의 산 증거로 존속되어 왔으며, 1894년 동학농민전쟁으로 불타고 곧 이은 갑오경장의 신제도로 폐영되었다. 전라병영성 성곽 전체 길이는 1,060m이며, 높이는 3.5m, 면적은 93.139㎡이다. 지정 당시 성곽 내 육군 지휘부 시절의 건물이나 유적은 소실되어 없었으며, 성곽만 일부 남아 있는 상태였다. 1997년 사적 지정 이후 1998년부터 본격적으로 복원을 시작하여 성곽, 남문, 동문 등을 복원하였다.※(전라병영성지 → 강진 전라병영성)으로 명칭변경 되었습니다.(2011.07.28 고시)",마천목 장군이 축조한 전라병영성은 조선왕조 500년간 육군의 총지휘부로서 민족저항 정신의 산 증거이다.,"마천목,전라병영성,조선,태종,17년,병마도절제사,고종,32년,갑오경장,동학농민운동","전라병영성,조선,태종,초대,병마,절,제사,마천목,장군,축,고종,갑오경장,조선왕조,전라도,제주도,포함,주,진,총괄,육군,지휘,역사,일화,속,민족,저항,정신,산,증거,존속,동학,농민전쟁,곧,은,갑오경장,제도로,폐영,전라병영성,성곽,전체,길이,면적,지정,당시,성곽,내,육군,지휘,부,시절,건물,유적,소실,성곽,일부,남아,상태,사적,지정,이후,본격,복원,시작,성곽,남문,동문,등,복원,전라병영성,강진,전라병영성,명칭변경,고시"
9,10,"대반야바라밀다경은 줄여서 ‘대반야경’이라고도 부르기도 하며, 존재물 자체에는 실체가 없으므로 집착하는 마음을 갖지 말라는 공(空)사상을 주요사상으로 하고 있다. 당나라 현장(玄장)이 번역한 것으로 전권은 600권이다. 이 경은 대반야경 600권 가운데 권 제305로, 불모품(佛母品)의 처음부분에 해당된다. 갈색의 종이에 은색으로 글씨를 썼으며, 병풍처럼 펼쳐서 볼 수 있는 형태로 되어 있고, 크기는 세로 30.9㎝, 가로 11.6㎝이다. 은색의 화려한 꽃무늬가 장식된 표지에는 제목이 금색으로 쓰여져 있으며, 그 뒤로 본문이 은색으로 쓰여져 있다. 제목 아래에 천자문의 한자인 ‘조(調)’가 표시되어 있어, 개개의 경전을 천자문의 순서에 따라 만든 대장경 가운데 하나로 보인다. 이 경은 기림사의『상지은니대반야경』권210(보물 959-1호)과 비교해 보면 표지 문양과 본문 글씨가 동일하여 같은 시기인 14세기 중엽에 만들어진 것으로 추정된다.",전권 600권으로 당나라 현장이 번역한 대반야경 중 권 제305의 이 경은 14세기 중엽에 제작된 것으로 추정되고 있다.,"대반야경,대반야바라밀다경,공사상,당나라,현장,기림사,상지은니대반야경","반야바라밀다경,줄,반야경,기도,존재,물,자체,실체,집착,마음,말,공,사상,사상,당나라,현장,장,이,번역,것,전권,권,이,경은,반야경,권,가운데,권,제,로,불모,품,의,처음,부분,해당,갈색,종이,은색,글씨,병풍,볼,수,형태,크기,세로,가로,은색,꽃,무늬,장식,표지,제목,금색,그,뒤,본문,은색,제목,아래,천자문,한자,조,표시,개개,경전,천자문,순서,대장경,가운데,하나로,이,경은,기림사,상,지은,반야경,권,보물,호,과,비교,표지,양,본문,글씨,시기,세기,중엽,것,추정"
